[x, 23, 1, 19, 1, 18, 16, 19, 0, 18, 22, 10, 24, 4, 19, 26, 10, 7, 9, 19, 22, 9, 10, 9, 19, 12, 25, 24, 10, 22, 5, 1, 17, 19, 12, 3, 13, 13, 12, 7, 14, 24, 20, 2, 7, 0, 22, 22, 16, 5, 12, 8, 24, 19, 18, 10, 8, 14, 5, 2, 0, 17, 20, 8, 10, 14, 0, 20, 9]
[18, x, 16, 15, 12, 3, 11, 1, 24, 0, 24, 7, 16, 19, 8, 18, 14, 9, 26, 14, 5, 16, 21, 0, 21, 23, 10, 21, 14, 12, 19, 17, 18, 1, 26, 7, 20, 26, 25, 26, 15, 20, 23, 17, 5, 15, 23, 8, 9, 18, 5, 15, 17, 9, 12, 17, 14, 18, 17, 16, 13, 13, 1, 4, 10, 21, 3, 19, 12]
[13, 25, x, 23, 12, 11, 15, 20, 2, 15, 23, 8, 3, 15, 10, 16, 11, 1, 7, 14, 13, 3, 16, 20, 3, 2, 3, 19, 6, 15, 26, 24, 12, 24, 22, 14, 10, 7, 10, 25, 9, 25, 17, 2, 10, 15, 7, 19, 25, 26, 0, 0, 4, 3, 11, 6, 18, 20, 8, 16, 11, 20, 8, 16, 12, 26, 17, 4, 17]
[8, 26, 17, x, 21, 7, 8, 25, 15, 6, 17, 1, 24, 8, 10, 15, 22, 21, 15, 0, 19, 19, 12, 14, 24, 10, 22, 3, 8, 25, 9, 20, 2, 2, 9, 23, 26, 14, 8, 26, 20, 8, 20, 1, 12, 6, 16, 6, 6, 21, 26, 1, 22, 3, 7, 20, 17, 8, 8, 8, 10, 5, 22, 25, 22, 25, 26, 6, 14]
[2, 4, 9, 24, x, 4, 19, 9, 5, 1, 2, 13, 24, 22, 24, 0, 1, 22, 3, 14, 22, 24, 26, 1, 24, 17, 10, 16, 17, 19, 15, 6, 16, 7, 2, 21, 14, 3, 10, 5, 19, 6, 13, 10, 3, 9, 16, 7, 7, 18, 6, 15, 20, 5, 13, 25, 0, 5, 19, 23, 3, 15, 19, 17, 22, 0, 5, 17, 10]
[10, 2, 25, 17, 15, x, 3, 0, 9, 4, 6, 23, 10, 9, 4, 16, 14, 7, 18, 13, 26, 20, 9, 1, 15, 9, 16, 13, 20, 25, 11, 6, 8, 26, 6, 4, 19, 1, 5, 11, 1, 24, 0, 17, 12, 18, 24, 13, 20, 5, 1, 19, 19, 22, 13, 16, 10, 20, 12, 11, 22, 11, 0, 14, 26, 8, 22, 13, 21]
[22, 7, 19, 14, 4, 21, x, 2, 20, 16, 22, 17, 4, 1, 23, 20, 7, 1, 20, 21, 4, 2, 24, 15, 5, 20, 13, 26, 13, 24, 12, 12, 6, 20, 1, 19, 5, 2, 4, 0, 0, 14, 20, 10, 10, 1, 3, 9, 11, 1, 16, 12, 6, 13, 7, 24, 3, 19, 14, 4, 26, 22, 6, 25, 2, 23, 19, 9, 21]
[9, 7, 4, 14, 20, 5, 0, x, 12, 1, 6, 24, 14, 9, 8, 24, 1, 3, 25, 0, 11, 25, 7, 14, 19, 1, 25, 1, 20, 19, 10, 19, 17, 17, 0, 26, 17, 23, 10, 14, 4, 12, 26, 7, 26, 18, 21, 15, 5, 17, 9, 14, 25, 2, 11, 8, 26, 14, 3, 4, 2, 25, 23, 8, 21, 1, 21, 17, 3]
[18, 1, 2, 16, 26, 21, 23, 10, x, 12, 0, 26, 24, 13, 25, 10, 9, 5, 17, 18, 12, 14, 23, 14, 13, 26, 1, 5, 4, 2, 1, 11, 25, 11, 11, 4, 4, 15, 3, 12, 21, 20, 9, 2, 1, 0, 3, 0, 22, 10, 25, 24, 16, 24, 8, 3, 11, 7, 8, 26, 8, 4, 2, 14, 9, 21, 10, 22, 12]
[8, 19, 17, 26, 9, 0, 15, 6, 11, x, 0, 25, 13, 22, 2, 24, 4, 4, 15, 9, 12, 12, 21, 0, 26, 21, 12, 14, 13, 2, 5, 23, 2, 11, 16, 17, 18, 4, 1, 9, 25, 22, 1, 5, 14, 3, 8, 14, 12, 26, 12, 2, 8, 24, 21, 22, 23, 24, 3, 15, 12, 17, 16, 3, 25, 22, 23, 16, 16]
